Ticker,Date,Close,RSI,MACD,MACD_Signal,MA50,MA200
ERIC-B.ST,2025-01-24,85.19999694824219,,,,,
VOLV-B.ST,2025-01-24,293.29998779296875,,,,,
ATCO-A.ST,2025-01-24,192.39999389648438,,,,,
SEB-A.ST,2025-01-24,165.25,,,,,
SAND.ST,2025-01-24,232.0,,,,,
HM-B.ST,2025-01-24,150.5,,,,,
ASSA-B.ST,2025-01-24,338.0,,,,,
SHB-A.ST,2025-01-24,123.30000305175781,,,,,
SWED-A.ST,2025-01-24,244.5,,,,,
INVE-B.ST,2025-01-24,315.20001220703125,,,,,
ABB.ST,2025-01-24,650.5999755859375,,,,,
ESSITY-B.ST,2025-01-24,278.70001220703125,,,,,
HEXA-B.ST,2025-01-24,119.80000305175781,,,,,
TELIA.ST,2025-01-24,31.360000610351562,44.39081488400409,,,,
ALFA.ST,2025-01-24,492.20001220703125,58.69495963070226,,,,
SKF-B.ST,2025-01-24,225.1999969482422,50.577526139399104,,,,
ELUX-B.ST,2025-01-24,107.9000015258789,47.4713847309712,,,,
KINV-B.ST,2025-01-24,80.5999984741211,46.75175198975231,,,,
SOBI.ST,2025-01-24,332.0,53.7107459566933,,,,
LUND-B.ST,2025-01-24,530.0,58.32978349285999,,,,
SWMA.ST,2025-01-24,,58.32978349285999,,,,
INDU-C.ST,2025-01-24,385.5,58.32978349285999,,,,
SSAB-A.ST,2025-01-24,47.72999954223633,48.10272143678605,,,,
BOL.ST,2025-01-24,344.3999938964844,55.48519986802057,,,,
GETI-B.ST,2025-01-24,198.0,51.5854483946807,,,,
ATCO-B.ST,2025-01-24,173.0500030517578,50.928494732753364,,,,
EQT.ST,2025-01-24,361.70001220703125,55.53908896337579,26.667892231078014,,,
INVE-A.ST,2025-01-24,314.3999938964844,54.164936495196315,28.79169778590162,,,
AZN.ST,2025-01-24,1511.5,72.62527710597911,125.62269467288547,,,
VOLV-A.ST,2025-01-24,294.3999938964844,50.39979616680199,102.965239386078,,,
SCA-B.ST,2025-01-24,148.75,48.48747080143463,72.42147588032884,,,
SINCH.ST,2025-01-24,21.790000915527344,46.81982462732491,37.53799769808512,,,
ERIC-A.ST,2025-01-24,84.30000305175781,47.772275903553165,14.766406726304751,,,
NIBE-B.ST,2025-01-24,44.2400016784668,47.18899221069559,-6.438531115851902,,,
EMBRAC-B.ST,2025-01-24,202.6999969482422,49.79995893825284,-10.338029447977135,27.584905738264684,,
BETS-B.ST,2025-01-24,144.74000549316406,48.848647360546266,-17.898968719443587,18.48813084672303,,
BILL.ST,2025-01-24,112.5999984741211,48.29768434841198,-26.182679891263234,9.553968699125779,,
CAST.ST,2025-01-24,118.3499984741211,48.4097941859196,-31.915699414583315,1.2600350763839598,,
FABG.ST,2025-01-24,82.5,47.71509703164936,-38.90349864116473,-6.7726716671257785,,
HUSQ-B.ST,2025-01-24,59.2599983215332,47.24181441896603,-45.78882866892059,-14.575903067484742,,
INDT.ST,2025-01-24,302.0,52.53731390593772,-31.297633215815495,-17.920249097150894,,
LATO-B.ST,2025-01-24,285.5,52.15410740060737,-20.903703636136953,-18.516940004948108,,
LUMI.ST,2025-01-24,94.6500015258789,47.81021916340593,-27.746593973228812,-20.36287079860425,,
MTG-B.ST,2025-01-24,101.5,47.977699058530845,-32.2451937154851,-22.73933538198042,,
SAGA-B.ST,2025-01-24,236.39999389648438,51.29265530245444,-24.64101800368161,-23.119671906320658,,
